millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
2320,2,8.45,1.76,0.50,0.-15,0.91,0.70,4.87,22.74,93312.71,689.12
2354,2,8.17,2.9,0.97,0.21,0.29,-1.-6,4.87,7.91,93318.11,689.12
2388,2,9.66,0.89,3.8,0.-16,0.-63,0.-36,4.81,7.92,93314.85,689.12
2422,2,10.22,0.74,0.-23,-1.-86,-3.-55,0.-55,4.81,7.93,93315.92,689.32
2456,2,3.35,2.49,1.59,-1.-51,-5.-40,0.80,4.81,7.93,93311.57,689.3
2491,2,1.22,1.19,-4.-55,-2.-37,-6.-60,0.43,4.81,7.94,93315.91,689.42
2525,2,2.52,-1.-51,-8.-71,-3.-2,-4.-79,2.9,4.81,7.94,93311.55,690.9
2559,2,4.79,3.50,-6.-73,-4.-41,-3.-49,3.76,4.81,7.95,93307.20,689.22
2593,2,4.15,0.-9,-5.-20,-4.-42,-3.-68,4.78,4.75,7.95,93312.63,689.71
2627,2,2.61,2.63,-6.-20,-5.-28,-4.-43,4.53,4.81,7.96,93312.62,689.32
2661,2,3.65,1.65,-6.-68,-4.-59,-2.-47,4.59,4.81,7.96,93321.32,688.93
2695,2,8.28,-2.-72,-4.-7,-4.-5,0.28,4.17,4.81,7.97,93319.14,689.52
2729,2,7.1,-2.-28,-4.-10,-3.-34,0.-84,3.62,4.75,7.97,93320.22,689.13
2764,2,0.21,1.41,-9.-21,-2.-50,-1.-68,3.34,4.81,7.97,93323.48,689.13
2798,2,1.87,1.96,-11.-71,-3.-96,4.94,3.19,4.81,7.97,93312.60,688.55
2832,2,22.8,3.79,0.6,-2.-76,10.46,2.10,4.68,7.98,93320.21,689.3
2866,2,15.71,-4.-45,3.23,0.-36,1.3,2.76,4.75,7.98,93320.21,688.65
2900,2,18.43,-3.-89,0.-76,-1.-82,0.52,0.24,4.75,7.98,93316.95,688.74
2934,2,13.54,-1.-55,-6.-77,-2.-43,-1.-98,-2.-71,4.75,7.99,93322.39,687.97
