millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,BARO_temp,BARO_press,BARO_alt,Velocity_inte,Velocity_diff,Velocity_est,lastInte.x,lastInte.y,lastDiff.x,lastDiff.y,Est_apogee,Z_accel_times_burnoutMass
1277,5,1277,1277,0.193,0.7,0.463,35.399,1.446,52.601,0.25,0.26,0.11,-651.0,10.342,90702.515,924.382,0.0,0.0,0.0,1270.0,0.341,1270.0,924.55,-2147483648.2147483647,0.301
1367,5,1367,90,0.122,0.35,0.406,35.457,2.31,52.236,0.17,0.21,0.19,-651.0,10.328,90704.140,924.61,-37.944,0.2,1.800,1361.0,0.492,1361.0,924.305,-84.841,0.263
1452,5,1452,85,0.244,0.71,0.499,35.384,1.446,52.265,0.15,0.13,0.19,-651.0,10.328,90697.109,923.966,-77.353,0.3,2.472,1446.0,0.434,1446.0,923.984,-71.279,0.324
1532,5,1532,80,0.610,0.337,0.463,35.662,1.900,52.104,0.15,0.7,0.23,-619.0,10.319,90706.31,924.97,-106.117,0.10,6.343,1526.0,0.284,1526.0,923.171,-29.921,0.301
1612,5,1612,80,0.114,0.129,0.341,34.799,1.973,51.870,0.27,0.29,0.10,-651.0,10.338,90706.226,923.966,-132.296,0.8,1.582,1606.0,0.370,1606.0,923.889,-90.930,0.221
1698,5,1698,86,0.531,0.21,0.592,35.150,1.826,51.973,0.1,0.59,0.19,-619.0,10.333,90706.875,924.97,-169.700,0.8,4.549,1692.0,0.499,1692.0,923.171,-44.994,0.384
1778,5,1778,80,0.78,0.373,0.815,35.92,1.943,51.826,0.21,0.20,0.3,-619.0,10.338,90704.789,923.889,-188.413,0.0,1.982,1772.0,0.31,1772.0,923.189,-80.318,0.529
1868,5,1868,90,0.86,0.14,0.449,35.223,1.636,51.973,0.12,0.0,0.15,-619.0,10.328,90712.671,923.872,-202.360,0.4,1.715,1862.0,0.341,1862.0,923.587,-87.679,0.291
1947,5,1947,79,0.107,0.229,0.442,35.632,2.16,52.206,0.3,0.20,0.25,-619.0,10.338,90712.671,923.984,-232.465,0.5,1.706,1941.0,0.420,1941.0,924.2,-87.489,0.287
2027,5,2027,80,0.28,0.78,0.485,35.384,1.856,52.294,0.21,0.4,0.18,-619.0,10.338,90708.312,923.474,-261.516,0.8,4.542,2021.0,0.305,2021.0,923.284,-45.157,0.315
2107,5,2107,80,0.193,0.157,0.334,34.624,1.651,52.353,0.14,0.0,0.20,-619.0,10.347,90710.195,924.2,-288.845,0.1,1.913,2101.0,0.377,2101.0,923.379,-83.295,0.217
