millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Battery_voltage,Z_accel_times_burnoutMass
4135,2,4135,44,0.5,0.534,0.427,37.611,-9.570,33.843,0.13,0.36,0.9,-753.400,0.35,0.509,0.449,38.102,-9.836,33.615,0.12,0.39,0.11,-747.0,5.243,91257.750,873.774,5.247,91262.382,873.851,-18.883,0.0,1.975,-72.840,3.789,0.262
4171,2,4171,36,0.11,0.559,0.440,37.623,-9.637,33.805,0.11,0.38,0.8,-753.400,0.0,0.567,0.485,37.752,-9.777,33.601,0.7,0.44,0.4,-747.0,5.249,91257.851,873.721,5.261,91264.234,873.768,-34.515,0.1,2.56,-71.276,3.796,0.270
4211,2,4211,40,0.27,0.542,0.430,37.562,-9.599,33.849,0.10,0.38,0.8,-753.400,0.64,0.524,0.327,37.342,-9.558,34.478,0.16,0.34,0.9,-747.0,5.255,91259.62,873.854,5.275,91255.85,873.779,-51.940,0.3,1.883,-74.682,3.796,0.264
4247,2,4247,36,0.1,0.509,0.439,37.529,-9.611,33.902,0.11,0.37,0.8,-747.0,0.50,0.445,0.442,37.109,-9.383,33.995,0.12,0.35,0.10,-747.0,5.263,91258.476,873.866,5.280,91253.890,873.996,-67.597,0.0,1.988,-72.491,3.796,0.269
4286,2,4286,39,0.28,0.594,0.401,37.483,-9.514,33.992,0.11,0.37,0.8,-747.0,0.165,0.926,0.305,37.109,-9.17,34.273,0.10,0.31,0.75,-747.0,5.270,91258.585,873.799,5.289,91257.335,873.600,-83.999,0.1,2.72,-70.893,3.802,0.246
4323,2,4323,37,0.30,0.592,0.417,37.372,-9.424,34.74,0.12,0.37,0.8,-747.0,0.28,0.502,0.528,37.547,-9.383,34.25,0.15,0.39,0.10,-747.0,5.281,91257.546,873.789,5.298,91257.203,873.804,-99.162,0.0,2.9,-72.146,3.802,0.256
4360,2,4360,37,0.45,0.572,0.432,37.152,-9.394,34.130,0.12,0.36,0.6,-747.0,0.78,0.466,0.556,36.655,-9.631,33.878,0.6,0.41,0.14,-747.0,5.289,91257.679,873.878,5.303,91264.890,874.213,-114.882,0.2,1.918,-73.932,3.796,0.264
4399,2,4399,39,0.21,0.509,0.558,37.240,-9.254,34.22,0.11,0.39,0.6,-747.0,0.57,0.208,0.958,37.781,-8.857,33.937,0.11,0.47,0.5,-747.0,5.295,91258.750,873.905,5.308,91260.382,873.913,-134.196,0.0,1.974,-72.752,3.796,0.342
4436,2,4436,37,0.1,0.429,0.459,37.211,-9.277,33.998,0.12,0.40,0.7,-747.0,0.165,0.43,0.53,36.962,-9.500,33.878,0.19,0.40,0.5,-747.0,5.300,91260.492,873.768,5.303,91262.632,873.311,-153.23,0.3,2.158,-69.281,3.796,0.281
4475,2,4475,39,0.127,0.373,0.488,37.319,-9.289,33.893,0.9,0.38,0.6,-747.0,0.466,0.646,0.449,37.649,-9.76,33.747,0.3,0.21,0.2,-747.0,5.303,91261.546,873.790,5.303,91262.632,873.708,-171.497,0.0,1.978,-72.770,3.796,0.299
4512,2,4512,37,0.156,0.363,0.546,37.430,-9.310,33.876,0.10,0.36,0.6,-747.0,0.172,0.452,0.822,38.102,-9.485,33.937,0.20,0.32,0.10,-747.0,5.304,91262.390,873.732,5.303,91261.437,873.516,-190.644,0.1,2.61,-71.180,3.796,0.335
4551,2,4551,39,0.206,0.376,0.502,37.605,-9.266,33.911,0.12,0.35,0.5,-747.0,0.172,0.531,0.334,37.532,-9.412,34.54,0.12,0.35,0.6,-747.0,5.305,91261.273,873.675,5.308,91259.320,873.925,-211.105,0.1,2.61,-71.242,3.796,0.308
4588,2,4588,37,0.192,0.435,0.396,37.570,-9.383,33.984,0.10,0.32,0.5,-747.0,0.14,0.502,0.427,37.605,-9.441,34.302,0.4,0.34,0.7,-747.0,5.305,91261.937,873.655,5.308,91263.695,873.816,-227.728,0.0,2.19,-72.80,3.796,0.242
4625,2,4625,37,0.163,0.555,0.505,37.728,-9.336,33.998,0.10,0.32,0.6,-747.0,0.21,0.646,0.492,37.752,-9.266,33.952,0.17,0.37,0.9,-747.0,5.305,91261.460,873.819,5.303,91260.242,874.130,-244.405,0.4,1.859,-75.254,3.796,0.309
4668,2,4668,43,0.54,0.495,0.462,37.743,-9.391,34.66,0.13,0.35,0.8,-747.0,0.78,0.344,0.233,37.722,-9.353,34.83,0.12,0.38,0.8,-747.0,5.306,91261.890,873.761,5.308,91264.757,873.420,-265.205,0.1,2.61,-71.153,3.796,0.283
