millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,IMU_maRaw_g_Y,IMU_mag_Raw_Z,Raw_IMU_gyro_X,IMU_gyro_Raw_Y,IMU_gyro_Raw_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
2,4027,4027,-9.53,2.127,-6.604,-299.918,41.441,-32.408,0.8,0.43,0.3,-779.0,-9.44,2.182,-6.594,-299.561,41.610,-32.81,0.7,0.44,0.0,-779.0,2.552,91603.210,842.967,2.563,91600.7,843.298,4027,-6.604,842.967,0.0,0.0,0.0,-2147483648.2147483647,0.0,4.157,-4.94
4069,2,4069,42,-9.44,2.132,-6.589,-299.959,41.420,-32.379,0.7,0.43,0.2,-779.0,-9.23,2.132,-6.579,-299.546,41.479,-32.329,0.6,0.40,0.3,-779.0,2.556,91602.468,842.914,2.559,91602.46,842.507,4069,-6.589,842.914,-277070.562,-1.251,2.39,11669.417,0.0,4.150,-4.85
4108,2,4108,39,-9.41,2.130,-6.588,-299.944,41.476,-32.291,0.8,0.43,0.3,-779.0,-9.52,2.88,-6.615,-299.561,41.625,-32.329,0.9,0.44,0.3,-779.0,2.562,91601.726,842.920,2.573,91604.187,842.410,4108,-6.588,842.920,-534042.437,0.139,1.995,12596.278,0.0,4.150,-4.84
4144,2,4144,36,-9.54,2.114,-6.589,-299.666,41.499,-32.338,0.8,0.44,0.3,-779.0,-9.87,2.88,-6.543,-299.634,41.332,-32.417,0.9,0.47,0.6,-779.0,2.568,91601.835,842.968,2.587,91600.679,843.229,4144,-6.589,842.968,-771247.187,1.327,1.961,13115.554,0.0,4.150,-4.85
4184,2,4184,40,-9.47,2.116,-6.581,-299.710,41.482,-32.262,0.8,0.44,0.3,-779.0,-9.30,2.88,-6.572,-300.248,41.362,-32.154,0.7,0.43,0.3,-779.0,2.577,91601.734,842.855,2.601,91601.742,842.834,4184,-6.581,842.855,-1034664.500,-2.806,2.91,13530.726,0.0,4.150,-4.80
4220,2,4220,36,-9.44,2.111,-6.582,-299.812,41.473,-32.253,0.8,0.43,0.5,-779.0,-9.30,2.160,-6.601,-300.73,41.566,-32.37,0.7,0.43,0.9,-779.0,2.587,91602.726,842.643,2.615,91604.953,842.235,4220,-6.582,842.643,-1271610.875,-5.905,2.215,13822.35,0.0,4.150,-4.81
4260,2,4260,40,-9.54,2.113,-6.571,-299.850,41.438,-32.253,0.9,0.44,0.5,-779.0,-9.73,2.139,-6.522,-299.736,41.303,-32.329,0.11,0.43,0.5,-779.0,2.597,91603.70,842.831,2.610,91603.781,843.450,4260,-6.571,842.831,-1534683.625,4.716,1.876,14088.198,0.0,4.150,-4.74
4296,2,4296,36,-9.62,2.114,-6.576,-299.818,41.379,-32.353,0.8,0.44,0.5,-779.0,-9.87,2.96,-6.644,-299.400,41.332,-32.826,0.7,0.43,0.3,-779.0,2.604,91601.882,842.858,2.610,91598.234,842.543,4296,-6.576,842.858,-1771345.750,0.739,1.978,14291.290,0.0,4.150,-4.77
4336,2,4336,40,-9.50,2.104,-6.578,-299.880,41.379,-32.417,0.9,0.43,0.4,-779.0,-9.30,2.38,-6.550,-299.941,41.332,-32.738,0.12,0.44,0.0,-779.0,2.610,91602.265,842.783,2.615,91602.609,842.852,4336,-6.578,842.783,-2034447.125,-1.882,2.59,14487.1,0.0,4.150,-4.78
4372,2,4372,36,-9.56,2.124,-6.594,-299.734,41.379,-32.455,0.9,0.43,0.4,-779.0,-9.59,2.189,-6.651,-299.517,41.362,-32.344,0.7,0.44,0.4,-779.0,2.615,91603.765,842.807,2.624,91609.234,842.958,4372,-6.594,842.807,-2271548.500,0.688,1.979,14642.711,0.0,4.150,-4.88
4412,2,4412,40,-9.66,2.100,-6.588,-299.576,41.376,-32.592,0.9,0.43,0.4,-779.0,-9.80,2.38,-6.572,-299.283,41.552,-32.724,0.9,0.41,0.8,-779.0,2.616,91602.617,842.933,2.624,91599.203,842.861,4412,-6.588,842.933,-2535195.500,3.128,1.914,14798.183,0.0,4.150,-4.84
4448,2,4448,36,-9.64,2.101,-6.595,-299.584,41.555,-32.598,0.9,0.43,0.4,-779.0,-9.66,2.146,-6.558,-299.780,42.195,-32.358,0.10,0.42,0.6,-779.0,2.620,91601.937,842.896,2.629,91600.367,843.266,4448,-6.595,842.896,-2772503.750,-1.22,2.31,14924.811,0.0,4.150,-4.89
4488,2,4488,40,-9.60,2.110,-6.578,-299.643,41.578,-32.557,0.10,0.42,0.4,-779.0,-9.66,2.139,-6.558,-299.693,41.449,-32.622,0.10,0.41,0.1,-779.0,2.623,91603.23,843.62,2.624,91603.679,843.372,4488,-6.578,843.62,-3035978.500,4.142,1.889,15053.163,0.0,4.150,-4.78
4524,2,4524,36,-9.69,2.126,-6.576,-299.695,41.674,-32.429,0.8,0.42,0.5,-779.0,-9.73,2.117,-6.543,-300.204,41.815,-32.95,0.6,0.42,0.5,-779.0,2.625,91602.789,843.23,2.624,91601.437,842.658,4524,-6.576,843.23,-3272769.750,-1.74,2.33,15159.323,0.0,4.157,-4.77
4564,2,4564,40,-9.76,2.119,-6.555,-299.655,41.730,-32.490,0.8,0.42,0.5,-779.0,-9.95,2.153,-6.543,-299.313,41.639,-32.651,0.6,0.43,0.5,-779.0,2.625,91600.984,843.4,2.624,91600.265,842.861,4564,-6.555,843.4,-3535411.750,0.480,2.14,15268.608,0.0,4.157,-4.64
4612,2,4612,48,-9.69,2.129,-6.561,-299.707,41.800,-32.470,0.8,0.42,0.4,-779.0,-9.44,2.88,-6.601,-299.546,41.902,-32.622,0.8,0.41,0.3,-779.0,2.626,91602.125,842.922,2.629,91604.851,842.455,4612,-6.561,842.922,-3850203.250,-1.689,2.53,15388.860,0.0,4.150,-4.67
4651,2,4651,39,-9.79,2.134,-6.575,-299.675,41.750,-32.546,0.8,0.42,0.4,-779.0,-9.116,2.175,-6.629,-299.619,41.946,-32.738,0.11,0.43,0.4,-779.0,2.625,91603.234,842.820,2.624,91605.921,842.755,4651,-6.575,842.820,-4106363.250,-2.619,2.85,15479.499,0.0,4.150,-4.76
4687,2,4687,36,-9.87,2.137,-6.578,-299.669,41.762,-32.499,0.9,0.42,0.4,-779.0,-9.109,2.153,-6.572,-299.663,41.508,-32.388,0.12,0.39,0.1,-779.0,2.625,91603.0,842.699,2.624,91602.507,842.764,4687,-6.578,842.699,-4343128.500,-3.373,2.112,15558.583,0.0,4.157,-4.78
4727,2,4727,40,-9.79,2.130,-6.598,-299.520,41.739,-32.446,0.9,0.42,0.4,-779.0,-9.30,2.81,-6.644,-299.459,41.698,-31.832,0.8,0.42,0.8,-779.0,2.627,91602.765,842.780,2.633,91600.265,843.63,4727,-6.598,842.780,-4606660.500,2.26,1.942,15641.998,0.0,4.157,-4.90
4763,2,4763,36,-9.64,2.130,-6.608,-299.541,41.818,-32.376,0.9,0.41,0.4,-779.0,-9.23,2.153,-6.594,-299.415,42.34,-32.300,0.7,0.41,0.3,-779.0,2.629,91602.757,842.720,2.633,91600.265,842.561,4763,-6.608,842.720,-4844382.0,-1.666,2.52,15713.102,0.0,4.157,-4.97
4803,2,4803,40,-9.69,2.134,-6.605,-299.622,41.756,-32.271,0.9,0.41,0.4,-779.0,-9.66,2.110,-6.586,-299.956,41.596,-32.95,0.8,0.38,0.2,-779.0,2.630,91602.273,842.701,2.638,91602.406,842.359,4803,-6.605,842.701,-5108660.500,0.480,2.14,15788.284,0.0,4.150,-4.95
4839,2,4839,36,-9.54,2.119,-6.583,-299.736,41.683,-32.195,0.9,0.40,0.4,-779.0,-9.44,2.96,-6.522,-300.190,41.581,-32.358,0.9,0.40,0.6,-779.0,2.633,91601.335,842.743,2.638,91601.234,842.967,4839,-6.583,842.743,-5346072.0,1.174,1.965,15852.788,0.0,4.157,-4.82
4879,2,4879,40,-9.57,2.103,-6.591,-299.760,41.800,-32.183,0.9,0.41,0.4,-779.0,-9.123,2.74,-6.608,-299.780,42.92,-32.329,0.11,0.43,0.1,-779.0,2.636,91600.203,842.683,2.638,91596.859,842.465,4879,-6.591,842.683,-5609575.500,-1.496,2.47,15921.23,0.0,4.150,-4.86
4915,2,4915,36,-9.59,2.110,-6.586,-299.915,41.771,-32.350,0.9,0.42,0.4,-779.0,-9.37,2.117,-6.622,-300.233,41.552,-32.665,0.12,0.46,0.7,-779.0,2.636,91599.312,842.606,2.633,91595.789,842.677,4915,-6.586,842.606,-5846780.500,-2.148,2.68,15979.588,0.0,4.150,-4.83
4955,2,4955,40,-9.102,2.107,-6.601,-299.894,41.651,-32.338,0.10,0.41,0.5,-779.0,-9.238,2.139,-6.665,-299.313,41.435,-32.242,0.8,0.37,0.8,-779.0,2.638,91599.757,842.669,2.642,91602.507,842.879,4955,-6.601,842.669,-6110542.500,1.588,1.954,16042.2,0.0,4.150,-4.92
4991,2,4991,36,-9.109,2.98,-6.629,-299.842,41.639,-32.399,0.9,0.41,0.5,-779.0,-9.102,2.67,-6.730,-299.693,41.537,-32.402,0.7,0.36,0.2,-779.0,2.639,91601.85,842.691,2.642,91609.31,842.465,4991,-6.629,842.691,-6348703.500,0.590,1.982,16095.855,0.0,4.150,-4.110
