millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
4285,2,4285,4285,-7.270,-4.239,-4.914,57.59,30.306,53.133,0.395,0.210,0.170,-523.0,-7.558,-4.63,-5.431,57.907,31.788,51.169,0.558,0.279,0.481,-523.0,11.290,90400.460,952.107,11.301,90396.992,951.749,4285,-4.914,951.749,0.0,0.0,0.0,0.0,0.0,0.0,4.28,-3.47
4334,2,4334,49,-7.385,-4.238,-5.7,57.477,30.935,52.247,0.419,0.226,0.185,-523.0,-8.262,-4.666,-5.165,58.345,32.66,50.570,0.313,0.352,0.42,-523.0,11.297,90399.492,952.113,11.306,90399.101,951.956,4334,-5.7,951.956,-243086.312,4.221,1.887,0.0,0.0,0.0,4.28,-3.105
4376,2,4376,42,-7.431,-4.354,-4.997,57.831,31.470,51.482,0.379,0.204,0.138,-523.0,-7.357,-4.795,-4.928,58.477,32.300,50.0,0.366,0.58,0.120,-523.0,11.300,90398.734,951.994,11.306,90400.7,952.80,4376,-4.997,952.80,-453194.687,2.954,1.918,0.0,0.0,0.0,4.34,-3.98
4412,2,4412,36,-7.326,-4.591,-4.987,57.874,31.949,50.798,0.405,0.165,0.67,-523.0,-6.783,-5.175,-4.785,57.687,32.753,49.751,0.342,0.101,0.218,-523.0,11.307,90399.312,951.986,11.324,90401.62,951.997,4412,-4.987,951.997,-632925.750,-2.298,2.74,0.0,0.0,0.0,4.34,-3.92
4454,2,4454,42,-7.451,-4.848,-4.990,57.942,32.610,50.192,0.394,0.194,0.13,-523.0,-7.293,-5.541,-4.641,57.293,34.142,49.473,0.390,0.182,0.118,-523.0,11.312,90399.609,951.975,11.320,90400.914,952.94,4454,-4.990,952.94,-842461.250,2.298,1.935,0.0,0.0,0.0,4.34,-3.94
4491,2,4491,37,-7.409,-4.956,-4.816,57.737,33.121,49.687,0.346,0.201,0.152,-523.0,-7.350,-4.601,-4.562,56.883,34.346,48.640,0.321,0.311,0.349,-523.0,11.316,90401.265,952.190,11.324,90405.289,952.824,4491,-4.816,952.824,-1023891.375,19.748,1.627,0.0,0.0,0.0,4.34,-2.986
4534,2,4534,43,-7.682,-5.537,-6.39,57.109,33.650,49.391,0.260,0.283,0.339,-523.0,-9.626,-7.573,-11.281,55.203,34.712,49.93,0.117,0.762,0.891,-523.0,11.322,90401.390,952.243,11.334,90399.710,952.218,4534,-6.39,952.218,-1257306.625,-14.107,2.733,0.0,0.0,0.0,4.41,-3.745
4570,2,4570,36,-7.455,-5.691,-5.853,56.33,34.258,49.315,0.137,0.437,0.503,-523.0,-6.223,-5.563,-3.995,53.98,35.340,49.619,0.248,0.829,0.937,-523.0,11.328,90401.93,952.270,11.338,90398.500,952.218,4570,-5.853,952.218,-1471382.375,0.0,2.0,0.0,0.0,0.0,4.34,-3.629
4612,2,4612,42,-7.436,-5.559,-5.782,54.697,34.755,49.564,0.6,0.585,0.630,-523.0,-6.690,-4.515,-4.433,51.8,35.238,50.993,0.378,0.839,0.855,-523.0,11.330,90399.890,952.419,11.334,90395.31,952.741,4612,-5.782,952.741,-1715740.625,12.461,1.727,0.0,0.0,0.0,4.34,-3.585
4648,2,4648,36,-7.350,-5.368,-5.758,52.882,34.861,50.55,0.259,0.715,0.939,-523.0,-6.862,-4.587,-4.519,48.216,34.668,51.929,0.872,0.832,1.662,-523.0,11.335,90397.804,952.570,11.343,90390.507,952.851,4648,-5.758,952.851,-1923485.0,3.48,1.916,0.0,0.0,0.0,4.41,-3.570
4691,2,4691,43,-6.747,-5.573,-5.462,50.406,34.685,51.280,0.579,0.826,1.119,-523.0,-4.335,-5.627,-3.83,44.504,33.469,54.764,-1.279,0.870,1.248,-523.0,11.340,90396.632,952.554,11.352,90399.406,952.741,4691,-5.462,952.741,-2164740.750,-2.552,2.82,0.0,0.0,0.0,4.34,-3.387
4727,2,4727,36,-5.800,-5.134,-3.821,47.848,34.320,52.648,0.655,0.805,1.39,-523.0,-4.888,-5.376,-3.76,42.414,32.885,55.933,0.498,0.656,0.494,-523.0,11.343,90395.210,952.559,11.347,90392.617,952.244,4727,-3.821,952.244,-2331860.750,-13.804,2.706,0.0,0.0,0.0,4.34,-2.369
