millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
2,4705,4705,0.116,0.255,0.421,68.59,-26.123,34.326,0.22,0.20,0.7,-587.0,0.114,0.244,0.406,67.977,-26.337,34.419,0.25,0.20,0.8,-587.0,11.947,91170.562,882.158,11.954,91106.429,887.391,4705,0.421,887.391,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.262
4757,2,4757,52,0.152,0.219,0.403,68.120,-26.235,34.372,0.21,0.20,0.6,-587.0,0.193,0.193,0.399,68.225,-26.527,34.361,0.17,0.22,0.2,-587.0,11.956,91154.734,883.676,11.982,91102.812,888.337,4757,0.403,888.337,-21458.710,18.189,1.647,0.0,0.0,0.0,4.2,0.250
4800,2,4800,43,0.160,0.236,0.397,68.47,-26.381,34.390,0.22,0.22,0.6,-587.0,0.200,0.265,0.442,67.889,-26.556,34.390,0.22,0.23,0.2,-587.0,11.966,91137.492,884.972,12.0,91103.445,887.430,4800,0.397,887.430,-38678.667,-21.79,3.720,0.0,0.0,0.0,4.2,0.247
4836,2,4836,36,0.155,0.239,0.436,68.61,-26.360,34.343,0.21,0.23,0.5,-587.0,0.208,0.229,0.492,68.64,-26.74,34.492,0.20,0.24,0.1,-587.0,11.982,91118.710,884.987,12.23,91095.726,880.823,4836,0.436,880.823,-53689.750,-183.520,0.778,0.0,0.0,0.0,4.2,0.271
4879,2,4879,43,0.175,0.236,0.421,68.18,-26.313,34.437,0.21,0.23,0.4,-580.599,0.157,0.251,0.370,67.933,-26.74,34.522,0.21,0.24,0.7,-555.0,11.994,91119.632,884.988,12.9,91189.734,880.959,4879,0.421,880.959,-72144.398,3.145,1.913,0.0,0.0,0.0,4.2,0.262
4915,2,4915,36,0.175,0.235,0.419,67.945,-26.308,34.408,0.21,0.23,0.4,-580.599,0.114,0.236,0.391,67.611,-26.308,34.273,0.23,0.22,0.10,-587.0,12.7,91134.664,883.518,12.19,91181.593,880.40,4915,0.419,880.40,-87284.695,-25.510,5.261,0.0,0.0,0.0,4.15,0.260
4958,2,4958,43,0.173,0.228,0.421,67.933,-26.284,34.375,0.21,0.23,0.4,-580.599,0.186,0.157,0.413,68.167,-26.410,34.200,0.19,0.24,0.3,-587.0,12.15,91151.984,882.83,12.23,91189.453,881.165,4958,0.421,881.165,-105368.945,26.147,1.560,0.0,0.0,0.0,4.15,0.262
4994,2,4994,36,0.166,0.228,0.424,68.35,-26.258,34.405,0.20,0.23,0.5,-580.599,0.165,0.265,0.456,68.401,-26.425,34.536,0.17,0.22,0.2,-587.0,12.20,91168.765,880.668,12.23,91187.328,880.355,4994,0.424,880.355,-120612.617,-22.499,4.76,0.0,0.0,0.0,4.15,0.264
5037,2,5037,43,0.149,0.223,0.341,68.158,-26.293,34.434,0.18,0.30,0.6,-580.599,0.122,0.208,0.75,68.678,-26.249,34.638,0.10,0.59,0.7,-587.0,12.22,91186.359,880.616,12.37,91183.718,880.560,5037,0.341,880.560,-137091.765,4.776,1.874,0.0,0.0,0.0,4.2,0.212
5073,2,5073,36,0.193,0.195,0.344,68.129,-26.372,34.352,0.12,0.39,0.6,-587.0,0.380,0.107,0.384,67.787,-26.468,34.112,0.8,0.69,0.7,-587.0,12.27,91185.406,880.495,12.32,91184.921,880.355,5073,0.344,880.355,-149441.93,-5.705,2.206,0.0,0.0,0.0,4.21,0.214
