millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
0.-31,9.49,-3.-27,0.6,0.-6,0.-8,-3.-68,0.72,93473.67,674.71
2557,2,0.-67,9.30,-3.-88,0.4,0.-6,0.-6,-3.-68,0.74,93476.98,675.18
2601,2,0.-6,8.89,-5.-74,0.1,0.-2,0.-10,-3.-62,0.75,93477.10,674.51
2645,2,0.-62,9.12,-4.-3,0.3,0.-1,0.-12,-3.-56,0.76,93481.45,674.21
2689,2,-1.-89,9.23,-2.-80,0.15,0.-12,0.-1,-3.-56,0.77,93478.21,674.41
2775,2,0.28,11.54,-5.-36,0.16,0.-17,0.-8,-3.-56,0.76,93472.95,674.97
2819,2,1.66,9.66,-4.-82,0.-2,0.-5,0.-13,-3.-50,0.79,93474.17,674.67
2863,2,0.-52,4.43,-3.-48,0.-19,0.-4,0.-15,-3.-50,0.82,93476.44,674.56
2907,2,0.-71,9.88,-3.-63,0.2,0.-4,0.-7,-3.-50,0.83,93479.81,674.74
2951,2,-1.-6,9.15,-3.-47,0.4,0.-12,0.-7,-3.-50,0.84,93480.97,674.83
2995,2,0.-99,9.28,-3.-90,0.4,0.-10,0.-7,-3.-43,0.85,93474.55,674.83
3039,2,0.-55,10.20,-3.-8,0.6,0.-4,0.-5,-3.-43,0.86,93478.89,674.92
3083,2,0.-8,9.90,-2.-92,0.10,0.-10,0.-6,-3.-43,0.85,93480.78,674.55
3168,2,0.-23,9.30,-4.-18,0.6,0.-5,0.-10,-3.-43,0.82,93477.60,674.75
3212,2,0.-59,10.2,-3.-76,0.11,0.-7,0.-10,-3.-43,0.83,93476.57,674.84
3256,2,-1.-31,8.45,-4.-42,0.5,0.-9,0.-14,-3.-43,0.83,93476.57,674.84
3300,2,-1.-61,10.25,-3.-88,0.7,0.-7,0.-8,-3.-43,0.83,93471.12,674.94
3344,2,0.-58,9.55,-3.-78,0.6,0.-9,0.-7,-3.-37,0.82,93481.89,675.3
3388,2,0.-37,9.25,-4.-6,0.7,0.-11,0.-9,-3.-43,0.83,93482.92,675.22
3432,2,-1.-13,9.23,-4.-35,0.6,0.-13,0.-9,-3.-31,0.82,93479.50,675.5
3519,2,0.-15,9.22,-4.-43,0.7,0.-11,0.-15,-3.-37,0.79,93470.93,674.48
3563,2,-1.-67,9.27,-4.-18,0.6,0.-14,0.-13,-3.-37,0.80,93474.17,674.57
3607,2,-1.-8,9.37,-4.-8,0.4,0.-8,0.-10,-3.-37,0.80,93469.96,675.4
3651,2,0.-88,8.76,-3.-78,0.3,0.-7,0.-9,-3.-37,0.81,93469.96,674.76
3695,2,0.-98,9.48,-3.-59,0.5,0.-10,0.-10,-3.-37,0.81,93478.52,674.66
3739,2,-1.-50,9.0,-4.-86,0.0,0.-5,0.-10,-3.-37,0.81,93481.76,674.38
3783,2,-1.-18,9.23,-3.-46,0.-2,0.-14,0.-5,-3.-37,0.81,93478.58,675.14
3827,2,0.-13,9.33,-2.-78,0.2,0.-19,0.-7,-3.-37,0.80,93484.75,674.69
3913,2,0.-86,9.16,-4.-17,0.2,0.-21,0.-9,-3.-31,0.78,93484.82,674.96
3957,2,-1.-66,9.3,-3.-83,0.0,0.-13,0.-9,-3.-31,0.79,93479.50,674.39
4001,2,-1.-84,9.30,-3.-41,0.2,0.-14,0.-5,-3.-37,0.79,93476.32,674.20
4045,2,0.-22,9.30,-4.-3,0.0,0.-9,0.-6,-3.-37,0.80,93469.89,674.77
4089,2,0.-91,9.27,-3.-53,0.0,0.-13,0.-9,-3.-31,0.80,93478.52,674.9
4133,2,-1.-30,9.37,-3.-23,0.0,0.-9,0.-7,-3.-37,0.81,93474.24,674.95
4177,2,0.-98,9.29,-3.-92,0.3,0.-11,0.-7,-3.-31,0.80,93484.75,674.78
4270,2,0.-89,9.28,-3.-18,0.1,0.1,0.-6,-3.-31,0.77,93478.39,675.25
4314,2,0.-73,8.5,-4.-13,0.4,0.-15,0.-8,-3.-31,0.80,93483.84,675.5
4358,2,0.-12,10.66,-2.-1,0.7,0.-20,0.-7,-3.-37,0.80,93474.24,674.66
4402,2,0.-87,9.98,-3.-74,0.9,0.-3,0.-9,-3.-31,0.81,93479.68,674.75
4446,2,0.-96,9.15,-3.-38,0.6,0.-9,0.-9,-3.-37,0.82,93477.54,674.75
4490,2,-1.-20,5.55,-5.-23,0.5,0.-8,0.-8,-3.-31,0.82,93477.54,674.85
4535,2,-2.-6,9.55,-4.-62,0.2,0.-12,0.-6,-3.-31,0.83,93478.64,674.75
4579,2,-1.-19,9.28,-2.-74,0.-5,0.-10,0.-2,-3.-31,0.82,93480.60,674.19
4664,2,0.-50,9.58,-7.-7,0.0,0.-15,0.-8,-3.-31,0.81,93475.28,674.95
4708,2,-2.-73,9.14,-4.-82,0.-13,0.-5,0.-5,-3.-37,0.81,93477.48,674.95
4752,2,-1.-63,9.29,-3.-97,0.-16,0.-11,0.0,-3.-31,0.82,93474.36,674.47
4796,2,0.23,9.39,-2.-92,0.-15,0.-14,0.-1,-3.-31,0.83,93479.75,674.84
4840,2,0.-7,9.48,-4.-3,0.-11,0.-14,0.-6,-3.-37,0.83,93477.60,674.93
4884,2,-2.-95,9.28,-6.-34,0.-22,0.-24,0.-4,-3.-31,0.83,93476.57,675.3
4928,2,0.71,9.60,-2.-11,0.-32,0.-5,0.-2,-3.-31,0.82,93483.84,674.75
5012,2,-2.-46,9.45,-3.-23,0.-24,0.-1,0.-12,-3.-31,0.81,93477.54,674.95
5056,2,0.-16,9.60,0.-56,0.-19,0.-16,0.-9,-3.-25,0.82,93473.26,674.75
5100,2,0.-98,9.77,0.-90,0.-11,0.-29,0.-13,-3.-25,0.83,93482.99,676.8
5144,2,-1.-11,9.37,-2.-42,0.-4,0.-14,0.-11,-3.-31,0.83,93478.64,674.55
5188,2,-1.-99,9.61,-2.-75,0.-1,0.-27,0.-13,-3.-31,0.83,93479.81,674.93
5232,2,-1.-79,9.47,0.-97,0.3,0.-17,0.-4,-3.-25,0.83,93473.32,674.93
5276,2,0.-48,9.74,-2.-49,0.9,0.-4,0.-7,-3.-31,0.84,93477.67,674.74
5320,2,-1.-76,9.66,-1.-3,0.16,0.-18,0.-1,-3.-31,0.84,93478.77,674.93
5360,2,-1.-47,9.71,-1.-4,0.21,0.0,0.-6,-3.-31,0.85,93477.73,675.2
5404,2,-3.-53,10.6,3.21,0.38,0.-25,0.4,-3.-31,0.85,93482.1,675.2
