millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
4493,2,4493,4493,-8.444,-4.340,-11.534,45.925,23.981,45.188,1.95,0.651,-1.22,-491.0,-8.319,-4.335,-11.985,49.926,21.645,40.923,1.718,0.772,-1.237,-491.0,10.906,90525.882,940.707,10.906,90524.257,940.754,4493,-11.534,940.754,0.0,0.0,0.0,0.0,0.0,0.0,3.950,-6.791
4542,2,4542,49,-8.881,-3.818,-11.548,47.945,22.347,43.107,0.967,0.554,-1.61,-491.0,-9.748,-3.704,-12.638,51.37,20.140,40.207,0.386,0.54,0.909,-491.0,10.906,90526.546,940.646,10.906,90527.578,940.657,4542,-11.548,940.657,-565530.875,-1.968,2.62,0.0,0.0,0.0,3.950,-6.799
4583,2,4583,41,-9.515,-3.142,-11.498,49.277,21.128,41.917,0.924,0.513,0.978,-491.0,-10.983,-1.507,-11.590,51.563,19.29,40.61,0.220,0.602,0.891,-491.0,10.906,90526.15,940.652,10.911,90523.976,940.670,4583,-11.498,940.670,-1037994.375,0.309,1.990,0.0,0.0,0.0,3.957,-6.770
4619,2,4619,36,-9.573,-2.961,-11.535,50.418,20.342,40.923,0.735,0.466,0.804,-491.0,-10.351,-1.679,-11.274,51.710,18.532,40.105,0.167,0.571,0.260,-491.0,10.908,90524.570,940.783,10.920,90520.507,940.780,4619,-11.535,940.780,-1452607.875,3.44,1.916,0.0,0.0,0.0,3.957,-6.792
4663,2,4663,44,-9.644,-1.663,-12.537,51.157,19.523,40.613,0.385,0.488,0.670,-491.0,-8.822,2.907,-15.201,51.549,18.269,41.771,0.565,0.442,0.52,-491.0,10.915,90522.890,940.769,10.934,90518.101,940.986,4663,-12.537,940.986,-1982225.375,4.683,1.876,0.0,0.0,0.0,3.950,-7.382
4699,2,4699,36,-9.823,0.918,-12.333,51.449,18.813,40.888,0.139,0.437,0.448,-491.0,-9.209,0.610,-10.965,51.388,18.94,42.297,0.903,0.519,0.128,-491.0,10.922,90523.15,940.796,10.938,90524.890,940.889,4699,-12.333,940.889,-2429917.250,-2.678,2.87,0.0,0.0,0.0,3.957,-7.262
4741,2,4741,42,-9.680,0.380,-11.860,51.487,18.196,41.511,0.375,0.493,0.349,-491.0,-9.37,-1.12,-10.269,51.227,17.56,43.320,0.797,0.333,0.415,-491.0,10.928,90522.679,940.823,10.938,90525.945,940.792,4741,-11.860,940.792,-2937993.750,-2.307,2.74,0.0,0.0,0.0,3.957,-6.983
4777,2,4777,36,-9.487,0.132,-11.492,51.566,17.512,42.423,0.552,0.417,0.247,-491.0,-10.13,0.265,-9.752,51.958,15.609,44.621,0.661,0.218,0.382,-491.0,10.933,90522.593,940.991,10.934,90523.539,941.508,4777,-11.492,941.508,-3358344.250,19.877,1.626,0.0,0.0,0.0,3.957,-6.766
4820,2,4820,43,-9.456,0.94,-11.178,51.917,16.860,43.300,0.627,0.320,0.266,-491.0,-10.200,0.545,-9.702,53.463,15.273,44.489,0.207,0.89,0.355,-491.0,10.935,90523.468,940.850,10.934,90524.890,940.77,4820,-11.178,940.77,-3845767.500,-33.269,525.953,0.0,0.0,0.0,3.970,-6.581
4856,2,4856,36,-9.906,0.801,-10.161,52.256,16.126,43.849,0.507,0.294,0.318,-491.0,-11.69,-1.572,-10.118,53.244,14.600,44.519,0.32,0.310,0.309,-491.0,10.937,90525.484,940.732,10.943,90528.210,940.393,4856,-10.161,940.393,-4229887.0,8.782,1.791,0.0,0.0,0.0,3.957,-5.983
4898,2,4898,42,-9.963,0.963,-9.965,52.791,15.448,44.182,0.276,0.280,0.326,-491.0,-9.497,-1.421,-9.982,54.63,14.703,43.963,0.251,0.451,0.172,-491.0,10.936,90526.179,940.589,10.934,90528.351,940.174,4898,-9.965,940.174,-4652550.0,-5.219,2.185,0.0,0.0,0.0,3.957,-5.867
4934,2,4934,36,-10.51,-1.3,-9.955,53.154,14.966,44.381,0.72,0.259,0.241,-491.0,-9.475,-1.213,-10.219,53.40,14.644,44.314,0.220,0.227,0.13,-491.0,10.934,90524.859,940.548,10.924,90519.304,940.586,4934,-9.955,940.586,-5011111.0,11.445,1.744,0.0,0.0,0.0,3.957,-5.861
4977,2,4977,43,-10.180,-1.91,-10.12,53.522,14.755,44.375,0.136,0.303,0.175,-491.0,-10.660,0.703,-10.39,53.800,14.557,44.592,0.384,0.441,0.52,-491.0,10.934,90524.710,940.421,10.934,90522.773,940.876,4977,-10.12,940.876,-5440411.0,6.739,1.831,0.0,0.0,0.0,3.957,-5.895
5013,2,5013,36,-10.91,-1.272,-10.95,53.466,14.714,44.472,0.240,0.437,0.134,-491.0,-9.755,-1.450,-10.118,53.186,15.68,44.972,0.312,0.758,0.151,-491.0,10.933,90524.46,940.460,10.929,90521.570,940.270,5013,-10.95,940.270,-5802357.500,-16.832,3.20,0.0,0.0,0.0,3.957,-5.944
5089,2,5089,76,-9.876,-1.15,-9.963,53.253,14.934,44.805,0.284,0.467,0.116,-491.0,-9.992,0.287,-9.458,52.177,15.697,46.185,0.253,0.459,0.219,-491.0,10.930,90522.562,940.551,10.929,90520.796,940.850,5089,-9.963,940.850,-6564611.500,7.631,1.813,0.0,0.0,0.0,3.957,-5.866
5125,2,5125,36,-9.942,0.854,-9.781,53.22,15.39,45.434,0.300,0.453,0.13,-491.0,-9.827,0.617,-9.70,52.908,15.229,47.106,0.332,0.382,0.343,-491.0,10.924,90521.953,940.502,10.906,90525.320,939.928,5125,-9.781,939.928,-6920020.0,-25.614,5.318,0.0,0.0,0.0,3.957,-5.759
5167,2,5167,42,-9.972,0.802,-9.530,52.975,15.299,45.901,0.280,0.393,0.4,-491.0,-9.626,0.954,-8.962,52.806,15.945,46.653,0.117,0.76,0.59,-491.0,10.921,90523.156,940.472,10.906,90525.320,940.438,5167,-9.530,940.438,-7325558.0,12.144,1.732,0.0,0.0,0.0,3.957,-5.611
5209,2,5209,42,-9.779,0.885,-9.412,52.814,15.498,46.422,0.215,0.372,0.17,-491.0,-9.698,-1.119,-9.451,52.996,15.551,47.193,0.62,0.335,0.118,-491.0,10.916,90524.562,940.426,10.911,90529.843,940.644,5209,-9.412,940.644,-7723347.500,4.906,1.871,0.0,0.0,0.0,3.957,-5.541
5245,2,5245,36,-9.522,0.683,-9.86,52.677,15.624,46.924,0.172,0.251,0.67,-491.0,-8.470,0.437,-8.489,52.499,15.697,47.486,0.96,0.157,0.274,-491.0,10.911,90525.312,940.482,10.901,90525.320,940.548,5245,-9.86,940.548,-8056324.500,-2.678,2.87,0.0,0.0,0.0,3.957,-5.350
5287,2,5287,42,-9.326,0.941,-8.891,52.858,15.855,47.65,0.149,0.85,0.229,-491.0,-9.8,-1.579,-8.481,53.83,16.851,46.886,0.141,0.369,0.586,-491.0,10.905,90527.367,940.520,10.901,90531.46,941.43,5287,-8.891,941.43,-8433853.0,11.804,1.738,0.0,0.0,0.0,3.957,-5.235
5323,2,5323,36,-9.389,-1.46,-8.879,53.4,16.422,46.790,0.73,0.108,0.361,-491.0,-10.143,-1.141,-9.13,53.639,18.64,45.732,0.51,0.588,1.3,-491.0,10.905,90527.367,940.603,10.906,90525.320,940.341,5323,-8.879,940.341,-8753728.0,-19.509,3.411,0.0,0.0,0.0,3.957,-5.228
5366,2,5366,43,-9.347,-1.71,-8.957,53.422,17.103,46.644,0.117,0.151,0.407,-491.0,-9.418,-1.76,-9.350,54.896,19.351,45.922,0.337,0.290,0.292,-491.0,10.905,90527.179,940.520,10.906,90524.406,940.25,5366,-8.957,940.25,-9137221.0,-7.354,2.283,0.0,0.0,0.0,3.957,-5.273
5402,2,5402,36,-9.347,0.989,-9.49,53.829,18.50,46.179,0.116,0.288,0.444,-491.0,-9.698,0.710,-9.910,55.27,20.286,44.869,0.59,0.349,0.63,-491.0,10.903,90526.523,940.581,10.901,90526.523,940.946,5402,-9.49,940.946,-9461334.0,25.600,1.565,0.0,0.0,0.0,3.957,-5.328
5444,2,5444,42,-9.248,-1.302,-9.229,54.291,18.903,45.819,0.30,0.310,0.238,-491.0,-7.975,-2.2,-9.393,54.808,19.964,45.688,0.334,0.46,0.751,-491.0,10.902,90527.210,940.619,10.897,90528.781,940.740,5444,-9.229,940.740,-9845194.0,-4.906,2.172,0.0,0.0,0.0,3.957,-5.434
5480,2,5480,36,-9.521,-1.279,-9.581,54.741,19.526,45.515,0.7,0.221,0.187,-491.0,-10.372,-1.464,-10.240,55.334,19.964,45.366,0.28,0.75,0.330,-491.0,10.902,90526.546,940.413,10.901,90527.726,940.11,5480,-9.581,940.11,-10183805.0,-20.258,3.549,0.0,0.0,0.0,3.944,-5.641
5523,2,5523,43,-9.492,-1.319,-9.723,55.217,19.812,45.285,0.26,0.60,0.27,-491.0,-9.999,-1.342,-9.723,56.21,19.497,44.577,0.223,0.214,0.203,-491.0,10.901,90527.726,940.407,10.897,90531.187,940.314,5523,-9.723,940.314,-10598875.0,7.46,1.825,0.0,0.0,0.0,3.957,-5.725
5572,2,5572,49,-9.428,-1.384,-9.854,55.586,19.605,45.135,0.112,0.39,0.79,-491.0,-9.95,-1.399,-10.3,56.737,18.313,45.176,0.90,0.182,0.241,-491.0,10.899,90527.515,940.383,10.897,90523.343,939.902,5572,-9.854,939.902,-11078545.0,-8.409,2.337,0.0,0.0,0.0,3.963,-5.802
5613,2,5613,41,-9.599,-1.340,-9.733,56.235,19.307,45.121,0.133,0.24,0.112,-491.0,-10.552,0.495,-9.307,58.272,18.795,44.796,0.45,0.31,0.103,-491.0,10.894,90528.476,940.254,10.878,90531.328,940.301,5613,-9.733,940.301,-11480107.0,9.740,1.773,0.0,0.0,0.0,3.970,-5.731
5649,2,5649,36,-9.860,-1.127,-9.776,56.977,19.143,44.998,0.45,0.29,0.57,-491.0,-9.281,0.933,-9.609,58.520,19.146,45.74,0.103,0.73,0.99,-491.0,10.892,90526.929,940.229,10.888,90521.85,940.617,5649,-9.776,940.617,-11831303.0,8.768,1.791,0.0,0.0,0.0,3.970,-5.756
5694,2,5694,45,-9.909,-1.141,-9.403,57.898,19.11,44.887,0.21,0.2,0.44,-491.0,-10.616,-1.536,-8.374,59.938,19.307,44.811,0.148,0.85,0.262,-491.0,10.889,90526.757,940.348,10.888,90526.812,940.604,5694,-9.403,940.604,-12262868.0,0.282,2.8,0.0,0.0,0.0,3.970,-5.536
5730,2,5730,36,-9.899,-2.134,-9.731,58.634,19.87,44.712,0.5,0.0,0.69,-491.0,-9.949,-6.309,-11.360,59.704,19.877,43.700,0.144,0.229,0.329,-491.0,10.885,90526.359,940.285,10.874,90529.210,939.998,5730,-9.731,939.998,-12607293.0,-16.832,3.20,0.0,0.0,0.0,3.963,-5.729
