millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
4335,2,4335,4335,-6.780,0.551,-2.509,49.985,-20.260,39.476,0.462,0.510,1.116,-139.0,0.703,0.940,-1.404,48.669,-20.286,39.476,0.149,0.958,0.956,-139.0,23.668,91159.351,882.727,23.653,91160.742,882.333,4335,-2.509,882.333,0.0,0.0,0.0,0.0,0.0,0.0,3.963,-1.500
4384,2,4384,49,-4.937,-2.9,0.341,49.14,-20.116,39.856,-1.473,0.467,0.637,-139.0,5.778,-3.912,13.82,48.947,-19.541,39.652,-4.307,-4.681,-1.576,-139.0,23.661,91161.265,882.774,23.644,91169.789,882.966,4384,0.341,882.966,-53108.875,12.910,1.720,0.0,0.0,0.0,3.963,0.204
4425,2,4425,41,-5.573,-1.791,0.715,50.198,-20.795,38.678,-1.395,-1.270,0.555,-139.0,-1.931,0.552,0.203,55.42,-22.303,35.895,0.848,-1.587,0.429,-139.0,23.658,91163.125,882.746,23.653,91165.140,882.685,4425,0.715,882.685,-31443.279,-6.852,2.258,0.0,0.0,0.0,3.976,0.427
4461,2,4461,36,0.590,0.638,1.468,51.753,-21.61,37.594,-1.252,0.909,0.78,-139.0,-2.914,2.218,-2.681,55.977,-22.771,33.995,0.468,0.62,0.14,-139.0,23.657,91163.281,882.586,23.667,91158.945,882.192,4461,1.468,882.192,7866.519,-13.709,2.698,0.0,0.0,0.0,3.963,0.878
4505,2,4505,44,0.212,0.305,0.878,52.858,-21.625,36.723,0.834,-1.190,0.411,-139.0,-1.292,2.835,-4.806,55.656,-23.224,34.595,1.600,0.579,-1.23,-139.0,23.659,91162.656,882.600,23.676,91158.687,882.825,4505,0.878,882.825,59512.554,14.390,1.698,0.0,0.0,0.0,3.970,0.525
4541,2,4541,36,0.163,0.423,0.832,53.990,-22.151,36.164,0.539,-1.372,0.714,-139.0,0.459,1.529,-1.633,54.326,-22.917,36.685,1.324,0.48,0.558,-139.0,23.662,91163.382,882.680,23.671,91164.375,882.731,4541,0.832,882.731,90320.179,-2.602,2.84,0.0,0.0,0.0,3.976,0.498
4583,2,4583,42,-1.478,1.740,-1.306,54.747,-22.829,35.553,0.306,0.626,0.533,-139.0,0.796,2.670,2.386,52.733,-22.931,36.597,0.74,0.952,0.671,-139.0,23.670,91160.648,882.675,23.685,91156.109,882.943,4583,-1.306,882.943,80374.773,5.35,1.868,0.0,0.0,0.0,3.976,0.781
4619,2,4619,36,-1.717,1.902,-1.692,54.399,-22.958,35.662,0.455,0.298,0.551,-139.0,-3.122,0.258,-1.727,53.303,-22.946,36.436,0.104,0.56,0.519,-139.0,23.676,91159.562,882.750,23.681,91159.718,883.59,4619,-1.692,883.59,26393.214,3.239,1.911,0.0,0.0,0.0,3.970,-1.12
4662,2,4662,43,-1.305,2.132,-1.383,53.452,-23.118,36.179,0.384,0.42,0.664,-139.0,0.854,3.366,-1.138,51.242,-23.574,36.582,0.823,1.213,0.549,-139.0,23.680,91160.187,882.961,23.685,91162.46,883.247,4662,-1.383,883.247,-39751.601,4.368,1.884,0.0,0.0,0.0,3.970,0.827
4698,2,4698,36,0.859,2.57,0.620,52.262,-23.253,36.708,0.158,0.67,0.493,-139.0,0.933,2.462,0.987,49.707,-23.896,37.240,0.468,0.27,0.167,-139.0,23.681,91160.859,882.881,23.685,91162.46,882.427,4698,0.620,882.427,-75824.320,-22.791,4.162,0.0,0.0,0.0,3.970,0.370
