millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Air_brake_error,Battery_voltage,Z_accel_times_burnoutMass
4317,2,4317,4317,0.749,0.768,0.225,37.3,19.979,52.505,0.30,0.23,0.79,-395.0,-1.55,0.825,0.68,37.65,19.906,52.586,0.114,0.296,0.3,-395.0,14.410,92232.867,785.835,14.413,92232.265,786.425,4317,0.225,786.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.135
4366,2,4366,49,0.970,0.694,0.367,37.193,19.883,52.405,0.15,0.46,0.113,-395.0,-1.485,1.177,0.650,37.883,19.409,52.206,0.17,0.23,0.228,-395.0,14.414,92233.23,785.698,14.423,92232.125,785.536,4366,0.367,785.536,-14522.447,-18.137,3.193,0.0,0.0,0.0,0.0,4.47,0.221
4408,2,4408,42,0.511,0.440,0.891,37.135,20.546,52.98,0.424,0.349,0.21,-395.0,0.696,-4.651,-3.169,37.35,23.253,51.169,2.60,1.505,0.211,-395.0,14.421,92233.117,785.870,14.436,92234.117,785.753,4408,0.891,785.753,-40959.660,5.166,1.865,0.0,0.0,0.0,0.0,4.54,0.537
4444,2,4444,36,0.318,0.875,0.974,36.936,21.370,51.794,0.392,0.291,0.1,-395.0,0.86,-1.679,0.994,36.173,24.57,50.993,0.90,0.138,0.68,-395.0,14.426,92233.218,785.861,14.441,92235.187,785.671,4444,0.974,785.671,-74551.500,-2.290,2.73,0.0,0.0,0.0,0.0,4.60,0.587
4486,2,4486,42,0.681,1.989,-1.263,36.957,22.43,51.560,0.204,0.200,0.53,-395.0,-1.651,14.277,-1.432,36.626,23.589,50.847,0.818,0.90,0.185,-395.0,14.434,92231.921,785.937,14.455,92225.921,786.298,4486,-1.263,786.298,-121550.718,14.947,1.690,0.0,0.0,0.0,0.0,4.54,0.761
4523,2,4523,37,0.779,1.961,0.558,37.3,22.698,51.31,0.295,0.335,0.33,-395.0,-1.543,0.681,3.455,37.299,23.180,49.941,0.340,0.377,0.106,-395.0,14.443,92232.23,786.12,14.459,92232.757,786.804,4523,0.558,786.804,-155252.296,13.653,1.709,0.0,0.0,0.0,0.0,4.60,0.336
4566,2,4566,43,0.670,1.880,0.480,36.731,23.338,50.923,0.296,0.333,0.24,-395.0,0.940,0.775,0.262,36.524,22.610,51.666,0.12,0.11,0.60,-395.0,14.452,92231.640,786.64,14.469,92230.195,785.793,4566,0.480,785.793,-177596.250,-23.509,4.393,0.0,0.0,0.0,0.0,4.54,0.289
4602,2,4602,36,-1.108,2.911,0.2,36.503,23.139,50.914,0.113,0.27,0.3,-395.0,-1.493,0.502,0.750,35.895,22.259,51.125,0.14,0.25,0.69,-395.0,14.458,92231.335,786.216,14.469,92232.617,786.516,4602,0.2,786.516,-186198.406,20.92,1.623,0.0,0.0,0.0,0.0,4.60,0.1
4644,2,4644,42,-1.92,4.232,0.359,36.635,22.759,51.2,0.207,0.14,0.34,-395.0,0.165,4.924,0.785,36.831,22.157,51.432,0.560,0.344,0.121,-395.0,14.465,92230.828,786.364,14.473,92232.617,786.407,4644,0.359,786.407,-178596.750,-2.596,2.84,0.0,0.0,0.0,0.0,4.60,0.216
4680,2,4680,36,-2.304,0.143,1.415,36.568,22.519,51.90,0.59,0.115,0.129,-395.0,-7.709,-6.166,3.850,36.290,22.391,51.286,0.517,0.560,0.291,-395.0,14.469,92232.796,786.265,14.478,92235.820,785.805,4680,1.415,785.805,-146652.46,-16.715,3.5,0.0,0.0,0.0,0.0,4.60,0.852
