millis(),currentState,calculatedFlightTime,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
495,0.-91,9.97,0.55,0.3,0.-20,0.-8,6.0,10.26,92542.0,758.82,0.0,0.0,0.0
541,2,541,0.-86,10.0,0.2,0.5,0.-12,0.-5,6.0,10.28,92541.96,758.24,0.0,0.0,0.0
587,2,587,0.-88,10.2,0.26,0.5,0.-7,0.-4,6.6,10.30,92534.18,758.6,0.0,0.0,0.0
630,2,630,0.3,9.99,0.2,0.5,0.-10,0.-2,6.6,10.32,92539.57,758.45,0.0,0.0,0.0
676,2,676,0.55,10.1,0.14,0.4,0.-8,0.-4,6.0,10.32,92542.82,758.65,0.0,0.0,0.0
722,2,722,0.-24,9.95,0.-8,0.2,0.-13,0.-8,6.0,10.33,92545.7,757.96,0.0,0.0,0.0
768,2,768,-1.-10,10.3,0.-40,0.-1,0.-10,0.-7,6.6,10.33,92539.52,759.4,0.0,0.0,0.0
814,2,814,0.-84,9.96,0.1,0.0,0.-42,0.-2,6.12,10.33,92545.1,758.6,0.0,0.0,0.0
860,2,860,0.26,10.2,1.5,0.2,0.-10,0.-3,6.6,10.33,92541.66,758.55,0.0,0.0,0.0
906,2,906,0.18,9.99,0.51,0.5,0.-3,0.-6,6.6,10.33,92539.52,758.6,0.0,0.0,0.0
949,2,949,0.-22,10.8,0.17,0.5,0.-22,0.-7,6.6,10.33,92529.71,758.75,0.0,0.0,0.0
995,2,995,0.-35,10.4,0.25,0.6,0.-35,0.-6,6.12,10.33,92536.22,758.65,0.0,0.0,0.0
1042,2,1042,0.-33,10.3,0.0,0.6,0.-8,0.-7,6.12,10.33,92536.22,758.46,0.0,0.0,0.0
1088,2,1088,0.-5,10.1,0.17,0.5,0.-16,0.-6,6.12,10.33,92534.3,758.36,0.0,0.0,0.0
1134,2,1134,0.-33,10.6,0.0,0.5,0.-20,0.-7,6.12,10.33,92537.34,758.36,0.0,0.0,0.0
1180,2,1180,0.1,10.0,0.-13,0.2,0.-5,0.-7,6.12,10.33,92538.40,758.26,0.0,0.0,0.0
1228,2,1228,0.-8,10.5,0.15,0.1,0.-35,0.-9,6.12,10.34,92537.28,758.85,0.0,0.0,0.0
1274,2,1274,0.-6,10.4,0.10,0.1,0.-24,0.-10,6.12,10.33,92535.15,758.55,0.0,0.0,0.0
1320,2,1320,0.-15,10.2,0.10,0.1,0.-20,0.-11,6.18,10.34,92535.15,759.14,0.0,0.0,0.0
1366,2,1366,0.-52,9.77,0.50,0.4,0.-22,0.-9,6.12,10.34,92527.53,758.56,0.0,0.0,0.0
1412,2,1412,0.-9,10.5,0.29,0.3,0.1,0.-8,6.18,10.33,92540.59,758.55,0.0,0.0,0.0
1458,2,1458,0.-7,10.3,0.49,0.5,0.-13,0.-10,6.25,10.33,92535.15,758.46,0.0,0.0,0.0
1504,2,1506,0.-28,10.0,0.56,0.5,0.-24,0.-9,6.18,10.33,92541.71,758.74,0.0,0.0,0.0
1547,2,1547,0.-46,9.83,0.62,0.7,0.-25,0.-7,6.18,10.33,92536.27,758.16,0.0,0.0,0.0
1593,2,1593,0.-59,9.89,0.8,0.10,0.-12,0.-8,6.25,10.33,92539.52,758.46,0.0,0.0,0.0
1639,2,1639,0.-27,9.97,0.17,0.8,0.2,0.-7,6.18,10.33,92537.34,758.84,0.0,0.0,0.0
1685,2,1685,0.-32,10.1,0.28,0.10,0.-6,0.-6,6.25,10.33,92535.15,758.75,0.0,0.0,0.0
1731,2,1731,0.-14,10.5,0.6,0.10,0.-19,0.-6,6.31,10.33,92536.22,758.65,0.0,0.0,0.0
1777,2,1777,0.-33,10.4,0.40,0.10,0.-32,0.-6,6.18,10.33,92535.15,759.4,0.0,0.0,0.0
1820,2,1820,0.-20,10.9,0.-10,0.11,0.-15,0.-6,6.18,10.33,92537.34,759.43,0.0,0.0,0.0
1866,2,1866,0.12,10.0,0.-14,0.10,0.-5,0.-8,6.25,10.33,92536.32,759.43,0.0,0.0,0.0
1912,2,1912,0.-38,9.97,0.-13,0.8,0.3,0.-8,6.25,10.33,92542.78,759.24,0.0,0.0,0.0
1958,2,1958,0.-46,10.1,0.-66,0.9,0.-25,0.-6,6.18,10.33,92540.59,758.56,0.0,0.0,0.0
2004,2,2004,0.-21,9.98,0.-71,0.5,0.-34,0.-5,6.18,10.34,92541.66,759.24,0.0,0.0,0.0
2051,2,2051,0.-72,10.1,0.31,0.3,0.-11,0.-6,6.25,10.33,92540.59,759.4,0.0,0.0,0.0
2093,2,2093,0.39,10.7,0.47,0.5,0.-22,0.-4,6.18,10.33,92542.78,759.34,0.0,0.0,0.0
2139,2,2139,0.0,10.9,0.8,0.6,0.-3,0.-10,6.25,10.33,92534.3,759.34,0.0,0.0,0.0
2185,2,2185,0.-71,10.0,0.-46,0.5,0.4,0.-10,6.18,10.34,92532.92,758.95,0.0,0.0,0.0
2231,2,2231,0.-43,9.99,0.-7,0.2,0.17,0.-7,6.25,10.34,92537.28,758.66,0.0,0.0,0.0
2277,2,2277,0.0,9.96,0.7,0.2,0.3,0.-5,6.31,10.33,92527.47,759.34,0.0,0.0,0.0
2323,2,2323,0.19,10.1,0.-7,0.2,0.32,0.-8,6.25,10.34,92532.92,758.85,0.0,0.0,0.0
2371,2,2371,0.-31,10.7,0.-10,0.1,0.48,0.-9,6.25,10.33,92539.47,759.4,0.0,0.0,0.0
2417,2,2417,0.-48,10.2,0.-7,0.0,0.-3,0.-6,6.25,10.34,92543.85,757.97,0.0,0.0,0.0
2463,2,2463,0.-34,10.6,0.3,0.0,0.0,0.-4,6.18,10.34,92533.98,759.14,0.0,0.0,0.0
2509,2,2509,0.16,10.1,0.39,0.0,0.8,0.-5,6.25,10.34,92539.47,759.5,0.0,0.0,0.0
