millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,BARO_temp,BARO_press,BARO_alt,Orientation_roll,Orientation_pitch,Orientation_yaw
698,2,698,698,9.29,-0.31,3.13,0.4,-0.10,-0.9,5.12,9.64,92894.39,726.81,0.0,0.0,0.0
750,2,750,52,9.29,-0.28,3.17,0.4,-0.8,-0.9,5.31,9.66,92893.21,727.20,0.0,0.0,0.0
796,2,796,46,9.60,-0.7,3.30,0.4,-0.8,-0.11,5.25,9.68,92886.59,726.82,0.0,0.0,0.0
839,2,839,43,8.86,-0.36,2.85,0.4,-0.8,-0.9,5.25,9.69,92897.47,727.31,0.0,0.0,0.0
885,2,885,46,9.24,-0.34,2.88,0.4,-0.10,-0.10,5.25,9.70,92886.52,727.22,0.0,0.0,0.0
931,2,931,46,9.80,-0.37,2.75,0.5,-0.9,-0.11,5.31,9.71,92896.32,726.83,0.0,0.0,0.0
977,2,977,46,9.93,-0.54,2.44,0.0,-0.8,-0.11,5.25,9.70,92893.3,726.73,0.0,0.0,0.0
1024,2,1024,47,9.57,-0.28,3.43,0.0,-0.8,-0.12,5.25,9.72,92897.36,726.73,0.0,0.0,0.0
1070,2,1070,46,9.54,-0.41,3.93,0.2,-0.9,-0.10,5.31,9.72,92893.0,727.22,0.0,0.0,0.0
1113,2,1113,43,9.31,-0.46,3.38,0.3,-0.9,-0.9,5.25,9.71,92890.82,727.3,0.0,0.0,0.0
1159,2,1159,46,9.56,-0.35,3.31,0.4,-0.10,-0.9,5.31,9.72,92892.96,726.74,0.0,0.0,0.0
1205,2,1205,46,9.37,-0.31,3.21,0.4,-0.8,-0.10,5.25,9.72,92884.23,727.13,0.0,0.0,0.0
1256,2,1256,51,9.28,-0.34,3.26,0.4,-0.8,-0.10,5.31,9.72,92890.78,726.93,0.0,0.0,0.0
1302,2,1302,46,9.17,-0.31,3.14,0.4,-0.10,-0.10,5.31,9.73,92890.78,726.94,0.0,0.0,0.0
1348,2,1348,46,9.39,-0.36,3.11,0.4,-0.9,-0.10,5.31,9.72,92895.14,727.42,0.0,0.0,0.0
1391,2,1391,43,9.41,-0.32,3.16,0.4,-0.9,-0.10,5.31,9.72,92891.85,727.42,0.0,0.0,0.0
1437,2,1437,46,9.32,-0.32,3.8,0.4,-0.10,-0.9,5.31,9.72,92892.92,727.3,0.0,0.0,0.0
1483,2,1483,46,9.30,-0.33,3.8,0.4,-0.9,-0.10,5.43,9.73,92894.0,727.33,0.0,0.0,0.0
1529,2,1529,46,9.10,-0.30,3.23,0.4,-0.11,-0.8,5.37,9.73,92894.0,726.74,0.0,0.0,0.0
1575,2,1575,46,9.38,-0.38,3.13,0.6,-0.6,-0.9,5.37,9.74,92891.82,727.3,0.0,0.0,0.0
1621,2,1621,46,9.14,-0.27,3.13,0.6,-0.10,-0.8,5.37,9.73,92887.45,726.64,0.0,0.0,0.0
1664,2,1664,43,9.39,-0.39,3.23,0.4,-0.6,-0.10,5.43,9.74,92899.40,727.13,0.0,0.0,0.0
1710,2,1710,46,9.31,-0.30,3.20,0.3,-0.6,-0.9,5.43,9.75,92889.63,727.13,0.0,0.0,0.0
1761,2,1761,51,9.37,-0.33,3.40,0.5,-0.12,-0.10,5.43,9.74,92889.63,727.43,0.0,0.0,0.0
1807,2,1807,46,9.33,-0.34,3.22,0.5,-0.11,-0.10,5.50,9.74,92889.63,727.23,0.0,0.0,0.0
1853,2,1853,46,9.40,-0.35,3.15,0.3,-0.6,-0.8,5.56,9.75,92896.10,727.14,0.0,0.0,0.0
1899,2,1899,46,9.35,-0.35,3.13,0.3,-0.6,-0.11,5.43,9.75,92886.37,727.43,0.0,0.0,0.0
1942,2,1942,43,9.28,-0.38,3.7,0.4,-0.11,-0.10,5.50,9.75,92891.78,726.94,0.0,0.0,0.0
1988,2,1988,46,9.30,-0.41,3.1,0.4,-0.9,-0.10,5.50,9.75,92893.96,726.94,0.0,0.0,0.0
2035,2,2035,47,9.44,-0.33,3.3,0.3,-0.9,-0.10,5.50,9.76,92892.85,727.14,0.0,0.0,0.0
2081,2,2081,46,9.41,-0.34,3.33,0.4,-0.10,-0.10,5.56,9.77,92890.67,727.14,0.0,0.0,0.0
