millis(),currentState,Calculated flight time,Time since last log,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
700,2,700,700,0.-99,10.0,1.51,0.12,0.27,0.-20,6.93,11.36,90934.21,903.1,0.0,0.0,0.0
752,2,752,52,1.67,9.48,0.70,0.29,0.23,0.-22,7.0,11.38,90934.2,903.73,0.0,0.0,0.0
798,2,798,46,0.-42,10.70,1.21,0.24,0.35,0.-53,7.0,11.39,90933.92,903.34,0.0,0.0,0.0
840,2,840,42,0.17,9.79,0.22,0.26,0.0,0.-14,7.0,11.40,90940.32,903.5,0.0,0.0,0.0
886,2,886,46,0.-18,10.1,0.75,0.14,0.0,0.4,7.6,11.41,90930.41,903.16,0.0,0.0,0.0
932,2,932,46,0.28,10.2,0.89,0.17,0.5,0.0,7.0,11.42,90933.65,903.57,0.0,0.0,0.0
978,2,978,46,0.-12,9.91,0.83,0.-6,0.9,0.-10,7.12,11.43,90934.70,902.78,0.0,0.0,0.0
1025,2,1025,47,0.64,9.73,0.-6,0.-14,0.-9,0.-16,7.6,11.43,90935.65,903.57,0.0,0.0,0.0
1071,2,1071,46,0.-55,10.22,1.62,0.-9,0.-5,0.-17,7.6,11.43,90934.70,903.57,0.0,0.0,0.0
1114,2,1114,43,0.56,9.55,0.-45,0.8,0.-9,0.-6,7.6,11.43,90935.65,903.27,0.0,0.0,0.0
1160,2,1160,46,0.63,9.69,0.-23,0.-55,0.16,0.-27,7.12,11.43,90938.89,903.47,0.0,0.0,0.0
1206,2,1206,46,0.26,10.69,1.57,0.-55,0.-19,0.-13,7.12,11.44,90935.65,902.69,0.0,0.0,0.0
1257,2,1257,51,0.-27,10.46,0.56,0.11,0.-22,0.-1,7.12,11.44,90935.65,903.97,0.0,0.0,0.0
