millis(),currentState,Calculated flight time,Time since last log,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
693,2,693,693,3.66,8.66,3.98,0.-4,0.-9,0.-7,3.31,7.59,90888.7,907.71,0.0,0.0,0.0
744,2,744,51,3.86,8.65,3.57,0.1,0.-7,0.-11,3.25,7.61,90886.85,907.42,0.0,0.0,0.0
790,2,790,46,3.50,8.64,3.66,0.-2,0.-9,0.-13,3.12,7.63,90885.73,907.62,0.0,0.0,0.0
833,2,833,43,3.88,8.49,3.94,0.-4,0.-15,0.-12,3.18,7.65,90884.56,907.83,0.0,0.0,0.0
879,2,879,46,3.59,8.62,3.86,0.-4,0.-6,0.-12,3.18,7.65,90882.32,907.24,0.0,0.0,0.0
925,2,925,46,3.20,8.73,3.64,0.1,0.-10,0.-13,3.18,7.67,90879.4,907.84,0.0,0.0,0.0
971,2,971,46,3.39,8.66,3.98,0.1,0.-9,0.-7,3.12,7.66,90891.96,907.94,0.0,0.0,0.0
1018,2,1018,47,3.63,8.65,3.86,0.4,0.-8,0.-6,3.12,7.67,90885.44,907.55,0.0,0.0,0.0
1064,2,1064,46,3.45,8.65,3.45,0.4,0.0,0.-6,3.18,7.67,90886.56,907.94,0.0,0.0,0.0
1107,2,1107,43,3.69,8.57,4.8,0.2,0.1,0.-6,3.12,7.67,90878.92,907.74,0.0,0.0,0.0
1153,2,1153,46,4.7,8.12,4.36,0.6,0.-16,0.-16,3.18,7.67,90884.39,907.55,0.0,0.0,0.0
1199,2,1199,46,3.68,8.66,3.41,0.0,0.-8,0.-13,3.18,7.67,90886.50,907.65,0.0,0.0,0.0
1250,2,1250,51,2.97,8.68,3.90,0.-1,0.-10,0.-15,3.18,7.68,90883.27,907.55,0.0,0.0,0.0
1296,2,1296,46,3.37,8.61,4.0,0.0,0.-9,0.-14,3.12,7.68,90879.98,908.14,0.0,0.0,0.0
1342,2,1342,46,3.44,8.60,4.15,0.1,0.-12,0.-13,3.6,7.67,90898.30,907.75,0.0,0.0,0.0
1385,2,1385,43,3.81,8.47,4.9,0.5,0.-8,0.-9,3.12,7.68,90884.27,907.85,0.0,0.0,0.0
1431,2,1431,46,3.48,8.64,3.81,0.5,0.-9,0.-9,3.18,7.69,90887.50,907.56,0.0,0.0,0.0
1477,2,1477,46,3.51,8.59,3.86,0.4,0.-9,0.-8,3.18,7.68,90882.10,907.95,0.0,0.0,0.0
1523,2,1523,46,3.42,8.60,3.59,0.5,0.-9,0.-10,3.18,7.68,90889.67,907.46,0.0,0.0,0.0
1569,2,1569,46,3.65,8.61,3.51,0.0,0.-8,0.-12,3.18,7.69,90886.44,907.46,0.0,0.0,0.0
1615,2,1615,46,3.42,8.61,4.16,0.-3,0.-9,0.-13,3.12,7.68,90881.3,907.56,0.0,0.0,0.0
1658,2,1658,43,3.23,8.57,4.42,0.0,0.-9,0.-11,3.12,7.68,90883.15,907.66,0.0,0.0,0.0
1704,2,1704,46,3.51,8.66,4.3,0.7,0.-9,0.-7,3.18,7.69,90889.73,907.36,0.0,0.0,0.0
1755,2,1755,51,3.54,8.58,3.85,0.3,0.-9,0.-9,3.18,7.68,90881.10,907.95,0.0,0.0,0.0
1801,2,1801,46,3.56,8.58,3.88,0.3,0.-11,0.-10,3.18,7.68,90883.21,907.55,0.0,0.0,0.0
1847,2,1847,46,3.67,8.62,4.28,0.4,0.-9,0.-11,3.18,7.68,90886.44,907.75,0.0,0.0,0.0
1893,2,1893,46,4.7,8.0,2.68,0.7,0.-34,0.-16,3.18,7.69,90889.73,908.44,0.0,0.0,0.0
1942,2,1942,49,3.38,8.54,4.14,0.-3,0.-7,0.-13,3.18,7.68,90889.73,908.24,0.0,0.0,0.0
1988,2,1988,46,3.62,8.54,4.20,0.0,0.-4,0.-12,3.18,7.68,90886.44,907.95,0.0,0.0,0.0
2035,2,2035,47,3.46,8.67,4.26,0.3,0.-12,0.-15,3.25,7.68,90890.78,908.5,0.0,0.0,0.0
2081,2,2081,46,3.36,8.90,3.19,0.4,0.-9,0.-23,3.25,7.68,90879.98,907.6,0.0,0.0,0.0
2127,2,2127,46,3.80,8.82,4.2,0.0,0.-11,0.-24,3.18,7.68,90889.73,907.65,0.0,0.0,0.0
2173,2,2173,46,0.65,15.73,6.89,0.-14,0.-82,0.-64,3.18,7.68,90885.38,907.85,0.0,0.0,0.0
2222,2,2222,49,2.26,8.81,4.73,0.-15,0.-6,0.-22,3.18,7.68,90883.27,907.95,0.0,0.0,0.0
2273,2,2273,51,3.44,8.60,4.79,0.5,0.-10,0.-9,3.18,7.67,90889.78,907.45,0.0,0.0,0.0
2319,2,2319,46,3.39,8.69,3.79,0.10,0.-9,0.-5,3.12,7.67,90889.67,907.6,0.0,0.0,0.0
2365,2,2365,46,3.56,8.63,3.93,0.9,0.-9,0.-7,3.6,7.68,90885.32,907.36,0.0,0.0,0.0
2411,2,2411,46,3.61,8.68,4.7,0.12,0.-10,0.-6,3.12,7.68,90881.3,907.56,0.0,0.0,0.0
2457,2,2457,46,2.94,8.58,4.13,0.19,0.-10,0.-4,2.93,7.68,90888.67,907.65,0.0,0.0,0.0
2503,2,2503,46,3.39,8.79,3.0,0.22,0.-6,0.0,3.6,7.68,90884.27,907.95,0.0,0.0,0.0
2546,2,2546,43,3.88,8.58,3.50,0.6,0.1,0.-4,3.6,7.68,90886.44,907.56,0.0,0.0,0.0
2592,2,2592,46,3.9,8.62,4.73,0.10,0.3,0.-5,3.6,7.68,90884.27,908.54,0.0,0.0,0.0
2638,2,2638,46,3.58,8.64,3.24,0.17,0.-1,0.1,3.12,7.68,90883.21,908.4,0.0,0.0,0.0
