millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,BARO_temp,BARO_press,BARO_alt,Velocity_inte,Velocity_diff,Velocity_est,lastInte.x,lastInte.y,lastDiff.x,lastDiff.y,Est_apogee,Z_accel_times_burnoutMass
636,2,636,636,-9.439,0.940,0.940,77.316,-65.551,-53.726,0.232,0.205,0.47,-651.0,9.522,91571.656,847.279,0.0,0.0,0.0,623.0,0.559,623.0,846.357,-2147483648.2147483647,0.574
726,2,726,90,-9.346,-1.536,0.351,76.293,-65.10,-55.261,0.215,0.43,0.24,-651.0,9.549,91565.750,846.493,-63.637,0.5,2.906,713.0,0.854,713.0,845.881,-54.512,0.214
814,2,814,88,-10.171,0.351,0.114,74.451,-63.607,-57.614,0.313,0.229,0.182,-651.0,9.577,91564.343,846.416,-114.805,0.7,1.613,801.0,0.308,801.0,846.513,-77.252,0.70
901,2,901,87,-9.59,-1.205,-1.521,74.890,-61.867,-57.410,0.82,0.46,0.412,-651.0,9.586,91558.656,847.37,-224.721,0.5,2.940,888.0,-2.218,888.0,846.28,-53.931,0.929
988,2,988,87,-10.889,0.710,0.287,76.191,-60.26,-57.950,0.83,0.45,0.213,-651.0,9.586,91555.218,846.329,-330.891,0.4,1.710,975.0,0.222,975.0,846.436,-75.261,0.175
1077,2,1077,89,-9.109,-1.737,-1.33,77.272,-58.491,-59.105,0.94,0.29,0.366,-651.0,9.595,91561.875,846.640,-410.802,0.2,1.823,1063.0,-1.593,1063.0,846.650,-72.684,0.631
1163,2,1163,86,-10.121,-1.134,0.480,80.342,-57.585,-57.351,0.213,0.174,0.239,-651.0,9.600,91558.437,846.844,-507.291,0.1,1.911,1150.0,0.624,1150.0,846.746,-70.537,0.293
1252,2,1252,89,-9.934,-1.4,-1.701,81.116,-57.322,-57.410,0.210,0.392,0.115,-651.0,9.595,91559.617,846.542,-615.582,0.3,2.430,1239.0,-1.808,1239.0,846.446,-61.624,-1.38
1340,2,1340,88,-9.762,-1.787,0.617,85.618,-56.986,-54.823,0.68,0.155,0.173,-651.0,9.605,91560.687,846.746,-712.864,0.4,1.710,1327.0,0.401,1327.0,846.853,-74.545,0.376
1427,2,1427,87,-9.497,-2.167,-1.26,85.530,-57.687,-56.577,0.72,0.277,0.193,-651.0,9.595,91557.250,846.339,-765.12,0.5,3.17,1414.0,0.796,1414.0,846.349,-53.322,0.626
1514,2,1514,87,-9.906,0.976,-1.708,84.258,-58.857,-59.485,0.98,0.170,0.80,-619.0,9.600,91553.812,846.650,-874.617,0.5,1.664,1501.0,-1.722,1501.0,846.853,-75.682,-1.43
1602,2,1602,88,-9.217,0.983,-1.708,82.972,-59.894,-62.233,0.37,0.263,0.87,-651.0,9.600,91561.765,846.746,-1010.749,0.3,2.451,1589.0,-1.371,1589.0,846.542,-61.178,-1.43
1689,2,1689,87,-9.403,-1.141,-1.241,81.365,-61.34,-62.613,0.109,0.126,0.60,-619.0,9.600,91550.484,846.135,-1126.911,0.0,2.94,1676.0,-1.299,1676.0,846.456,-66.976,0.758
1778,2,1778,89,-8.908,0.588,-1.313,81.58,-61.341,-63.665,0.11,0.103,0.30,-619.0,9.600,91559.507,846.446,-1254.688,0.3,2.430,1765.0,-1.572,1765.0,846.155,-61.722,0.802
1866,2,1866,88,-9.30,-1.478,-1.363,81.715,-61.838,-64.30,0.154,0.29,0.124,-619.0,9.609,91558.218,846.359,-1395.558,0.3,1.763,1853.0,-1.629,1853.0,846.465,-74.380,0.832
1953,2,1953,87,-9.963,0.638,-1.529,81.467,-61.765,-64.118,0.119,0.42,0.4,-619.0,9.618,91562.726,846.359,-1530.144,0.4,2.686,1940.0,-1.464,1940.0,846.58,-57.618,0.933
2040,2,2040,87,-11.227,-3.273,2.60,82.899,-62.525,-63.80,0.325,1.76,0.24,-619.0,9.623,91557.31,846.165,-1685.651,0.2,1.830,2027.0,-2.110,2027.0,846.262,-72.192,1.257
2129,2,2129,89,-8.994,-1.292,-1.91,83.981,-62.467,-61.356,0.95,0.184,0.17,-619.0,9.628,91559.289,846.669,-1808.833,0.0,1.989,2115.0,0.689,2115.0,846.272,-69.670,0.666
2215,2,2215,86,-9.611,-1.105,-1.198,83.484,-61.166,-63.314,0.1,0.4,0.199,-619.0,9.632,91559.289,846.680,-1887.211,0.1,1.903,2202.0,-1.112,2202.0,846.379,-70.261,0.731
2319,2,2319,104,-11.815,0.531,-1.256,78.821,-62.452,-66.530,0.31,0.513,-1.66,-619.0,9.618,91559.289,846.863,-2007.408,0.1,1.903,2306.0,-1.198,2306.0,846.486,-71.995,0.767
2402,2,2402,83,-12.533,1.651,-2.210,78.61,-65.419,-63.987,0.744,0.252,0.176,-619.0,9.637,91559.179,846.883,-2164.404,0.6,1.664,2389.0,-2.584,2389.0,846.990,-75.483,-1.350
2489,2,2489,87,-7.673,0.567,-1.277,82.592,-71.499,-53.127,1.312,0.255,0.816,-619.0,9.632,91567.15,846.883,-2338.23,0.9,6.160,2476.0,-1.406,2476.0,846.184,-25.83,0.780
2576,2,2576,87,-10.738,-2.462,0.768,91.771,-73.838,-40.163,1.173,1.69,0.937,-619.0,9.628,91562.507,846.786,-2458.244,0.7,1.620,2563.0,-1.356,2563.0,846.796,-77.730,0.468
2659,2,2659,83,-9.353,-2.110,0.157,98.684,-73.165,-29.552,1.24,0.216,0.573,-619.0,9.646,91557.882,846.893,-2544.339,0.3,2.450,2646.0,0.717,2646.0,846.486,-60.955,0.96
2746,2,2746,87,-10.6,-2.9,0.122,96.506,-78.32,-14.440,0.991,1.649,0.865,-619.0,9.632,91564.757,846.883,-2603.357,0.3,2.431,2733.0,0.638,2733.0,846.184,-60.766,0.74
2840,2,2840,94,-10.509,-1.249,1.414,83.645,-89.476,7.483,1.695,1.203,-1.54,-619.0,9.632,91559.70,847.184,-2599.983,0.3,1.762,2827.0,0.710,2827.0,846.495,-74.55,0.863
2928,2,2928,88,-10.695,0.839,1.227,74.305,-92.429,27.535,1.715,1.852,0.416,-619.0,9.646,91564.757,846.883,-2523.863,0.0,2.9,2915.0,1.19,2915.0,846.486,-68.265,0.749
3015,2,3015,87,-8.578,1.557,3.359,66.325,-92.429,43.320,1.303,0.167,0.580,-619.0,9.632,91555.632,846.690,-2291.851,0.1,1.903,3002.0,4.314,3002.0,846.593,-70.375,2.51
3102,2,3102,87,-7.982,0.229,2.677,66.4,-90.222,53.595,1.95,0.498,0.120,-619.0,9.637,91554.554,847.397,-1962.101,0.2,1.830,3089.0,3.266,3089.0,846.796,-73.81,1.634
